opinions,id,text,model_pred
"[{'sentiment': 'Negative', 'aspect': 'general'}]",1744,  I dont like LOCATION1 at all LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'live'}]",1735,  I have friends living in LOCATION1 and love it LOCATION1,[{'aspect': 'live'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",1735,  I have friends living in LOCATION1 and love it LOCATION1,[{'aspect': 'live'}]
"[{'sentiment': 'Positive', 'aspect': 'live'}]",575,  I have heard that LOCATION1 is the place to live in London  LOCATION1,[{'aspect': 'live'}]
"[{'sentiment': 'Negative', 'aspect': 'safety'}]",1191,  I liv in LOCATION1 in LOCATION2 which is a place where a lot of violence happens wiv gangs e LOCATION1,[{'aspect': 'safety'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",1696,  I live in LOCATION1 and I cant say I recommend it LOCATION1,[{'aspect': 'live'}]
"[{'sentiment': 'Positive', 'aspect': 'live'}]",1696,  I live in LOCATION1 and I cant say I recommend it LOCATION1,[{'aspect': 'live'}]
"[{'sentiment': 'Positive', 'aspect': 'safety'}]",1210,"  I live in LOCATION1, been here 11 years with no problems LOCATION1",[{'aspect': 'safety'}]
"[{'sentiment': 'Positive', 'aspect': 'nightlife'}]",508,"  I live in LOCATION1, there's great access to transport, some great pubs, beautiful houses in some areas, good schools LOCATION1",[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'transit-location'}]",508,"  I live in LOCATION1, there's great access to transport, some great pubs, beautiful houses in some areas, good schools LOCATION1",[{'aspect': 'transit-location'}]
"[{'sentiment': 'Negative', 'aspect': 'safety'}]",949,"  I lived in LOCATION1  for ten years it was rough , it was sooo close to the centre of town but so cheap LOCATION1",[{'aspect': 'safety'}]
"[{'sentiment': 'Positive', 'aspect': 'live'}]",72,  I lived in LOCATION1 for 6 months and adored it LOCATION1,[{'aspect': 'live'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",72,  I lived in LOCATION1 for 6 months and adored it LOCATION1,[{'aspect': 'live'}]
"[{'sentiment': 'Positive', 'aspect': 'live'}]",61,  I really like LOCATION1  I lived there for 3 months and had a lot of fun LOCATION1,[{'aspect': 'live'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",1218,"  I really love LOCATION1,  There are some beautiful houses in the conservation area, there is  Broadway Market and it's on the tube LOCATION1",[{'aspect': 'shopping'}]
"[{'sentiment': 'Positive', 'aspect': 'transit-location'}]",1218,"  I really love LOCATION1,  There are some beautiful houses in the conservation area, there is  Broadway Market and it's on the tube LOCATION1",[{'aspect': 'shopping'}]
"[{'sentiment': 'Positive', 'aspect': 'shopping'}]",1218,"  I really love LOCATION1,  There are some beautiful houses in the conservation area, there is  Broadway Market and it's on the tube LOCATION1",[{'aspect': 'shopping'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",1406,  I think LOCATION1 is your best bet  LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'live'}]",51,  I would rather live in LOCATION1 LOCATION1,[{'aspect': 'live'}]
"[{'sentiment': 'Negative', 'aspect': 'price'}]",2623,  I would say either LOCATION1 or LOCATION2 if you have the money LOCATION1,[{'aspect': 'price'}]
"[{'sentiment': 'Negative', 'aspect': 'price'}]",2623,  I would say either LOCATION1 or LOCATION2 if you have the money LOCATION2,[{'aspect': 'price'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",1477,  I would suggest LOCATION1 as a pretty good area LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Negative', 'aspect': 'general'}]",2381,  I'd stay away from LOCATION1 LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'live'}]",2147,  I've never lived in LOCATION1 but know it reasonably well and would say it's an OK place to live LOCATION1,[{'aspect': 'live'}]
"[{'sentiment': 'Positive', 'aspect': 'live'}]",127,"  If I had the money, I would live near LOCATION1   LOCATION1",[{'aspect': 'price'}]
"[{'sentiment': 'Negative', 'aspect': 'price'}]",127,"  If I had the money, I would live near LOCATION1   LOCATION1",[{'aspect': 'price'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",713,"  If you are thinking South London, try LOCATION1 LOCATION1",[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2375,  It would be worth you looking around LOCATION1 LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'price'}]",2276,"  LOCATION1  is traditionally not a wealthy area, in fact it is amongst the poorest areas in the entire UK  LOCATION1",[{'aspect': 'general'}]
"[{'sentiment': 'Negative', 'aspect': 'general'}]",2276,"  LOCATION1  is traditionally not a wealthy area, in fact it is amongst the poorest areas in the entire UK  LOCATION1",[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",1979,"  LOCATION1 ( pronounced Gren- Itch) is a lovely town, but parts of it can be very expensive LOCATION1",[{'aspect': 'general'}]
"[{'sentiment': 'Negative', 'aspect': 'price'}]",1979,"  LOCATION1 ( pronounced Gren- Itch) is a lovely town, but parts of it can be very expensive LOCATION1",[{'aspect': 'general'}]
"[{'sentiment': 'Negative', 'aspect': 'general'}]",2028,  LOCATION1 aint too bad LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2685,  LOCATION1 and LOCATION2 are the better area of West and Southwest London LOCATION2,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2685,  LOCATION1 and LOCATION2 are the better area of West and Southwest London LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2798,  LOCATION1 and LOCATION2 areas are nice i think LOCATION2,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2798,  LOCATION1 and LOCATION2 areas are nice i think LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'price'}]",738,  LOCATION1 attract many immigrants as it's cheaper LOCATION1,[{'aspect': 'multicultural'}]
"[{'sentiment': 'Positive', 'aspect': 'multicultural'}]",738,  LOCATION1 attract many immigrants as it's cheaper LOCATION1,[{'aspect': 'multicultural'}]
"[{'sentiment': 'Positive', 'aspect': 'price'}]",1555,  LOCATION1 cheap and lovely people LOCATION1,[{'aspect': 'price'}]
"[{'sentiment': 'Positive', 'aspect': 'green-nature'}]",1173,"  LOCATION1 even has a lovely big park, so you can go for walks etc  good luck LOCATION1",[{'aspect': 'green-nature'}]
"[{'sentiment': 'Positive', 'aspect': 'multicultural'}]",453,  LOCATION1 has a very large Jewish population LOCATION1,[{'aspect': 'multicultural'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",721,"  LOCATION1 has become a bit more up-market in recent years, and it's not too bad as a place LOCATION1",[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",623,"  LOCATION1 in LOCATION1 might be suitable, but it's more than 30 minutes to Central London   LOCATION1",[{'aspect': 'general'}]
"[{'sentiment': 'Negative', 'aspect': 'transit-location'}]",623,"  LOCATION1 in LOCATION1 might be suitable, but it's more than 30 minutes to Central London   LOCATION1",[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'transit-location'}]",730,  LOCATION1 is a good place to live with a major rail station LOCATION1,[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'live'}]",730,  LOCATION1 is a good place to live with a major rail station LOCATION1,[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'safety'}]",49,  LOCATION1 is a mainly Indian area but it very safe - lots of families with children LOCATION1,[{'aspect': 'safety'}]
"[{'sentiment': 'Positive', 'aspect': 'multicultural'}]",49,  LOCATION1 is a mainly Indian area but it very safe - lots of families with children LOCATION1,[{'aspect': 'safety'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",737,  LOCATION1 is a nice suburb of LOCATION1 LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'touristy'}]",2494,"  LOCATION1 is a safe area you will see a lot of tourists, sexy ladies LOCATION1",[{'aspect': 'touristy'}]
"[{'sentiment': 'Positive', 'aspect': 'safety'}]",2494,"  LOCATION1 is a safe area you will see a lot of tourists, sexy ladies LOCATION1",[{'aspect': 'touristy'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2301,"  LOCATION1 is a trendy, very edgy area with lots of live music venues LOCATION1",[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'nightlife'}]",2301,"  LOCATION1 is a trendy, very edgy area with lots of live music venues LOCATION1",[{'aspect': 'general'}]
"[{'sentiment': 'Negative', 'aspect': 'safety'}]",363,"  LOCATION1 is all druggies,  and tourists, LOCATION1",[{'aspect': 'safety'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",1992,  LOCATION1 is good LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",715,  LOCATION1 is good  and not too shabby LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'price'}]",1724,  LOCATION1 is in the east of London and is one of the more affordable parts of the London to live LOCATION1,[{'aspect': 'price'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",337,  LOCATION1 is just about okay LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2865,  LOCATION1 is lovely and LOCATION2 (as others have said) LOCATION2,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2865,  LOCATION1 is lovely and LOCATION2 (as others have said) LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Negative', 'aspect': 'price'}]",136,  LOCATION1 is more expensive (London) but is good for some of the local schools LOCATION1,[{'aspect': 'price'}]
"[{'sentiment': 'Positive', 'aspect': 'shopping'}]",2475,"  LOCATION1 is more expensive, but if you're after lots of shops, cafes etc there's more to offer LOCATION1",[{'aspect': 'shopping'}]
"[{'sentiment': 'Negative', 'aspect': 'price'}]",2475,"  LOCATION1 is more expensive, but if you're after lots of shops, cafes etc there's more to offer LOCATION1",[{'aspect': 'shopping'}]
"[{'sentiment': 'Negative', 'aspect': 'general'}]",2084,  LOCATION1 is not dangerous but it is an ugly jumble of concrete with no character LOCATION1,[{'aspect': 'safety'}]
"[{'sentiment': 'Positive', 'aspect': 'safety'}]",2084,  LOCATION1 is not dangerous but it is an ugly jumble of concrete with no character LOCATION1,[{'aspect': 'safety'}]
"[{'sentiment': 'Positive', 'aspect': 'live'}]",339,  LOCATION1 is one of the most affluent areas and offers a much nicer environment to live than south of the river LOCATION1,[{'aspect': 'live'}]
"[{'sentiment': 'Negative', 'aspect': 'price'}]",339,  LOCATION1 is one of the most affluent areas and offers a much nicer environment to live than south of the river LOCATION1,[{'aspect': 'live'}]
"[{'sentiment': 'Negative', 'aspect': 'safety'}]",2469,  LOCATION1 is one of the ruffest places in London LOCATION1,[{'aspect': 'safety'}]
"[{'sentiment': 'Negative', 'aspect': 'general'}]",1770,  LOCATION1 is pretty bad with its stabbings muggings and general filth of the place  LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Negative', 'aspect': 'safety'}]",1770,  LOCATION1 is pretty bad with its stabbings muggings and general filth of the place  LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",1514,  LOCATION1 is quite a nice area LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'safety'}]",1903,"  LOCATION1 is safe, you will hear noisy drunks at 1 am anywhere   LOCATION1",[{'aspect': 'safety'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",505,  LOCATION1 is the best by a long shot LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",142,"  LOCATION1 is the place, I love it LOCATION1",[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'touristy'}]",2004,  LOCATION1 is worth a visit if you are going in the spring or summer time LOCATION1,[{'aspect': 'touristy'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",1484,  LOCATION1 isn't bad LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Negative', 'aspect': 'safety'}]",2573,"  LOCATION1 isn't that bad, its a vibrant and diverse place, which does have crime, but so does LOCATION2 LOCATION1",[{'aspect': 'safety'}]
"[{'sentiment': 'Negative', 'aspect': 'safety'}]",2573,"  LOCATION1 isn't that bad, its a vibrant and diverse place, which does have crime, but so does LOCATION2 LOCATION2",[{'aspect': 'safety'}]
"[{'sentiment': 'Positive', 'aspect': 'multicultural'}]",2573,"  LOCATION1 isn't that bad, its a vibrant and diverse place, which does have crime, but so does LOCATION2 LOCATION1",[{'aspect': 'safety'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",1940,"  LOCATION1 would be pretty good, it's a laid back spot and mostly locals LOCATION1",[{'aspect': 'general'}]
"[{'sentiment': 'Negative', 'aspect': 'general'}]",1646,  LOCATION1's a hole LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",803,  LOCATION1's a lovely town but very expensive LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Negative', 'aspect': 'price'}]",803,  LOCATION1's a lovely town but very expensive LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'transit-location'}]",2332,  LOCATION1's a very central area close to LOCATION1  LOCATION1,[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",1401,  LOCATION1's nice and quite quiet LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'quiet'}]",1401,  LOCATION1's nice and quite quiet LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'price'}]",2921,  LOCATION2 and LOCATION1 are the cheapest or are you talking about the real world LOCATION2,[{'aspect': 'price'}]
"[{'sentiment': 'Positive', 'aspect': 'price'}]",2921,  LOCATION2 and LOCATION1 are the cheapest or are you talking about the real world LOCATION1,[{'aspect': 'price'}]
"[{'sentiment': 'Positive', 'aspect': 'safety'}]",674,  London is so diverse there are no racist areas  I live in LOCATION1 and have never had any problems LOCATION1,[{'aspect': 'safety'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",1338,  Lots of the better areas are expensive and definitely LOCATION1 LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Negative', 'aspect': 'price'}]",1338,  Lots of the better areas are expensive and definitely LOCATION1 LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'transit-location'}]",208,  Off course LOCATION1 is most safest place of Central London LOCATION1,[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'safety'}]",208,  Off course LOCATION1 is most safest place of Central London LOCATION1,[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'live'}]",2479,"  Oh LOCATION1 for me without a doubt, I've always said I would love to live there LOCATION1",[{'aspect': 'live'}]
"[{'sentiment': 'Negative', 'aspect': 'price'}]",2734,"  The LOCATION1/LOCATION2 area is very expensive, probably the most expensive in London LOCATION1",[{'aspect': 'price'}]
"[{'sentiment': 'Negative', 'aspect': 'price'}]",2734,"  The LOCATION1/LOCATION2 area is very expensive, probably the most expensive in London LOCATION2",[{'aspect': 'price'}]
"[{'sentiment': 'Negative', 'aspect': 'price'}]",760,  The Nobility live in townhouses in LOCATION1 LOCATION1,[{'aspect': 'price'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",1605,  The area South of LOCATION1  is also good LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'price'}]",2784,"  The area around LOCATION1 and LOCATION2 stations is very nice, leafy and green, and affordable LOCATION1",[{'aspect': 'price'}]
"[{'sentiment': 'Positive', 'aspect': 'green-nature'}]",2784,"  The area around LOCATION1 and LOCATION2 stations is very nice, leafy and green, and affordable LOCATION2",[{'aspect': 'price'}]
"[{'sentiment': 'Positive', 'aspect': 'green-nature'}]",2784,"  The area around LOCATION1 and LOCATION2 stations is very nice, leafy and green, and affordable LOCATION1",[{'aspect': 'price'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2784,"  The area around LOCATION1 and LOCATION2 stations is very nice, leafy and green, and affordable LOCATION2",[{'aspect': 'price'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2784,"  The area around LOCATION1 and LOCATION2 stations is very nice, leafy and green, and affordable LOCATION1",[{'aspect': 'price'}]
"[{'sentiment': 'Positive', 'aspect': 'price'}]",2784,"  The area around LOCATION1 and LOCATION2 stations is very nice, leafy and green, and affordable LOCATION2",[{'aspect': 'price'}]
"[{'sentiment': 'Positive', 'aspect': 'price'}]",509,  The cheapest area of London is LOCATION1 (DA18) LOCATION1,[{'aspect': 'price'}]
"[{'sentiment': 'Positive', 'aspect': 'touristy'}]",1155,  There's one place you must visit here in London - LOCATION1 and it's markets LOCATION1,[{'aspect': 'touristy'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2208,  Try LOCATION1 or nearby LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",1274,"  Try LOCATION1, it has great transport connections and has had a lot of development in the last few years  west London LOCATION1",[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'transit-location'}]",1274,"  Try LOCATION1, it has great transport connections and has had a lot of development in the last few years  west London LOCATION1",[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",3002,  Try searching in  LOCATION1 or LOCATION2 LOCATION2,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",3002,  Try searching in  LOCATION1 or LOCATION2 LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",517,  You may want to consider LOCATION1 LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'price'}]",2352,  You will not find anywhere near London much cheaper than LOCATION1 LOCATION1,[{'aspect': 'price'}]
"[{'sentiment': 'Negative', 'aspect': 'quiet'}]",429,  area around LOCATION1 in very multi-cultural and it is a very busy area LOCATION1,[{'aspect': 'quiet'}]
"[{'sentiment': 'Positive', 'aspect': 'multicultural'}]",429,  area around LOCATION1 in very multi-cultural and it is a very busy area LOCATION1,[{'aspect': 'quiet'}]
"[{'sentiment': 'Negative', 'aspect': 'safety'}]",2042,"  depends how much money you have to spend but avoid most of the LOCATION1,bad transport and alot trouble LOCATION1",[{'aspect': 'transit-location'}]
"[{'sentiment': 'Negative', 'aspect': 'transit-location'}]",2042,"  depends how much money you have to spend but avoid most of the LOCATION1,bad transport and alot trouble LOCATION1",[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",14,  i come from same area as david and have to agree if going to live in suburbia then LOCATION1 area is good but EXPENSIVE LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Negative', 'aspect': 'price'}]",14,  i come from same area as david and have to agree if going to live in suburbia then LOCATION1 area is good but EXPENSIVE LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'price'}]",885,"  i live in LOCATION1 which is in north west extended London, it is great because its not to busy and its not to expensive ether LOCATION1",[{'aspect': 'quiet'}]
"[{'sentiment': 'Positive', 'aspect': 'quiet'}]",885,"  i live in LOCATION1 which is in north west extended London, it is great because its not to busy and its not to expensive ether LOCATION1",[{'aspect': 'quiet'}]
"[{'sentiment': 'Negative', 'aspect': 'live'}]",971,"  just dont live in LOCATION1, you'll regret it LOCATION1",[{'aspect': 'live'}]
"[{'sentiment': 'Positive', 'aspect': 'transit-location'}]",472,  just go to LOCATION1 and you'll be in the centre of London LOCATION1,[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2932,  really nice area is LOCATION2 or LOCATION1 LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2932,  really nice area is LOCATION2 or LOCATION1 LOCATION2,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2092,  try somewhere round LOCATION1 LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2763, (LOCATION1/LOCATION2) is a very up and coming popular place for artists and musicians while also having lots of great curry houses and Asian food shops LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'dining'}]",2763, (LOCATION1/LOCATION2) is a very up and coming popular place for artists and musicians while also having lots of great curry houses and Asian food shops LOCATION2,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'dining'}]",2763, (LOCATION1/LOCATION2) is a very up and coming popular place for artists and musicians while also having lots of great curry houses and Asian food shops LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2763, (LOCATION1/LOCATION2) is a very up and coming popular place for artists and musicians while also having lots of great curry houses and Asian food shops LOCATION2,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",1268," (try LOCATION1, if you haven't already seen it LOCATION1",[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2938," , LOCATION2 and LOCATION1 might be good for you LOCATION1",[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2938," , LOCATION2 and LOCATION1 might be good for you LOCATION2",[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'price'}]",2690, Areas like LOCATION1 and LOCATION2 are still regarded as pleasant and safe but are a little less expensive as they are slightly further out from the centre of town LOCATION2,[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'safety'}]",2690, Areas like LOCATION1 and LOCATION2 are still regarded as pleasant and safe but are a little less expensive as they are slightly further out from the centre of town LOCATION2,[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'safety'}]",2690, Areas like LOCATION1 and LOCATION2 are still regarded as pleasant and safe but are a little less expensive as they are slightly further out from the centre of town LOCATION1,[{'aspect': 'transit-location'}]
"[{'sentiment': 'Negative', 'aspect': 'transit-location'}]",2690, Areas like LOCATION1 and LOCATION2 are still regarded as pleasant and safe but are a little less expensive as they are slightly further out from the centre of town LOCATION1,[{'aspect': 'transit-location'}]
"[{'sentiment': 'Negative', 'aspect': 'transit-location'}]",2690, Areas like LOCATION1 and LOCATION2 are still regarded as pleasant and safe but are a little less expensive as they are slightly further out from the centre of town LOCATION2,[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'price'}]",2690, Areas like LOCATION1 and LOCATION2 are still regarded as pleasant and safe but are a little less expensive as they are slightly further out from the centre of town LOCATION1,[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2719," Areas such as LOCATION1 and LOCATION2 are near the MI and either tube lines and are very nice areas, semi-rural in parts LOCATION1",[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'transit-location'}]",2719," Areas such as LOCATION1 and LOCATION2 are near the MI and either tube lines and are very nice areas, semi-rural in parts LOCATION1",[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'transit-location'}]",2719," Areas such as LOCATION1 and LOCATION2 are near the MI and either tube lines and are very nice areas, semi-rural in parts LOCATION2",[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2719," Areas such as LOCATION1 and LOCATION2 are near the MI and either tube lines and are very nice areas, semi-rural in parts LOCATION2",[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",1093," As long as you can afford to live in LOCATION1, it's way nicer (: LOCATION1",[{'aspect': 'price'}]
"[{'sentiment': 'Negative', 'aspect': 'price'}]",1093," As long as you can afford to live in LOCATION1, it's way nicer (: LOCATION1",[{'aspect': 'price'}]
"[{'sentiment': 'Negative', 'aspect': 'general'}]",27, Avoid LOCATION1 - it's super pricey LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Negative', 'aspect': 'price'}]",27, Avoid LOCATION1 - it's super pricey LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Negative', 'aspect': 'general'}]",1498, Avoid LOCATION1 - nice place to go out but it's a bit rough (highest assault rate in London) LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Negative', 'aspect': 'safety'}]",1498, Avoid LOCATION1 - nice place to go out but it's a bit rough (highest assault rate in London) LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'nightlife'}]",1498, Avoid LOCATION1 - nice place to go out but it's a bit rough (highest assault rate in London) LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'transit-location'}]",1546," Crossrail mainline link between LOCATION1, central London and north Kent LOCATION1",[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",1070," For the most part, LOCATION1 is a nice area LOCATION1",[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'transit-location'}]",1271," Getting to the London from LOCATION1 is easy , buses go every few minutes LOCATION1",[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2800, Hmm LOCATION1 and LOCATION2 are improving areas LOCATION2,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2800, Hmm LOCATION1 and LOCATION2 are improving areas LOCATION1,[{'aspect': 'general'}]
